"DP Density","Discounted Lifetime Utility","Time Cost (s)"
100,-969.6035442126092,1.084098068
120,-943.0496305258976,1.882876636
140,-842.2215395256579,2.345354568
160,-884.0199033465511,3.487582578
180,-872.5789142362687,4.671121275
200,-832.3157672054974,5.105722951
220,-827.2375246847253,6.238310859
240,-832.713217381816,7.35012114
260,-820.0355344079071,9.456209132
280,-840.1402198290934,11.034706891
300,-836.477957790735,12.987135815
320,-844.2329565188293,14.926669607
340,-813.2114082116244,17.027639806
360,-843.5235892569484,19.222150482
380,-825.5757834362025,22.423582227
400,-810.2070897374481,25.365746422
420,-814.7829992215511,28.345551961
440,-794.6925570193857,31.710149778
460,-819.4266914079421,35.870654804
480,-798.3204807703534,40.060938509
500,-787.7634610905491,44.236210141
