Year,Expenses,Incomes
2010,2015.27019,1895.844739
2011,2394.117396,2324.399085
2012,2882.659036,2947.732694
2013,3386.040892,3472.905594
2014,4077.250206,3933.142451
2015,4507.497099,4524.431245
2016,5045.560031,4999.907541
2017,5610.012476,5642.314136
2018,6207.783613,6114.496988
2019,6866.304475,6535.90525
2020,7559.236952,6998.681971
2021,8117.591641,7300.122765
2022,8697.500554,7621.405973
2023,9329.091837,7921.288164
2024,9983.297863,8187.365296
2025,10678.45697,8477.307573
2026,11385.40725,8764.221108
2027,12217.40915,9064.542865
2028,13165.30162,9387.17088
2029,14134.55781,9691.450362
2030,15147.72972,10020.22027
2031,16211.81094,10323.26019
2032,17290.25703,10653.74065
2033,18508.29375,11010.07969
2034,19779.0599,11389.23769
2035,21145.05736,11800.29645
2036,22547.85199,12251.27831
2037,24032.83747,12727.18049
2038,25567.92399,13237.03746
2039,27131.12363,13768.93591
2040,28730.81996,14319.93498
2041,30416.36769,14904.51101
2042,32159.99749,15497.16432
2043,34031.43192,16075.92376
2044,35987.95499,16707.12896
2045,38021.88561,17355.02945
2046,40132.92537,18022.98078
2047,42357.34378,18710.47558
2048,44583.03167,19388.63197
2049,46850.27333,20094.77491
2050,49153.94941,20805.27557
2051,50493.54865,20988.45778
2052,51844.66533,21261.5692
2053,53148.59355,21550.19577
2054,54514.78115,21841.92313
2055,55883.7334,22175.58589
2056,57020.23389,22547.3209
2057,58092.65812,22970.79045
2058,59142.85545,23420.29076
2059,60104.96631,23888.33152
2060,60972.72586,24386.17824
2061,61724.60135,24897.17608
2062,62445.57826,25437.71492
2063,63135.35354,26006.73652
2064,63752.50723,26609.45397
2065,64379.91929,27217.82048
2066,64979.08543,27860.4784
2067,65587.5907,28511.95204
2068,66202.29815,29167.13952
2069,66869.70774,29828.80208
2070,67565.08371,30495.55476
2071,68265.8827,31206.5173
2072,69044.79527,31882.29376
2073,69876.6101,32530.62263
2074,70761.59041,33149.53202
2075,71603.87116,33737.30971
2076,72580.70295,34294.97085
2077,73650.41287,34831.89278
2078,74826.12085,35351.95422
2079,76102.20656,35859.02223
2080,77490.39398,36357.97269
2081,79003.34522,36856.22912
2082,80616.44387,37387.82648
2083,82319.95744,37958.14008
2084,84138.49231,38572.05803
2085,86046.04343,39231.9108
2086,87959.81605,39937.91853
2087,89857.59016,40690.75215
2088,91730.76294,41490.2222
2089,93596.96943,42335.5013
2090,95443.99739,43224.68978
2091,97281.82855,44155.54582
2092,99153.74459,45125.54785
2093,101026.2878,46133.35288
2094,102899.6464,47173.90501
2095,104792.8052,48243.24042
2096,106709.1632,49334.00767
2097,108649.3191,50438.37765
2098,110608.2839,51550.31698
2099,112586.9582,52663.97729
2100,114603.7687,53775.26975
