Loop,Elapsed(s),Err_K,Err_L
1,0.813262232,0.9831571467184672,1.1878230074357745
2,0.468135796,0.9897560666767542,8.41229662416238
3,0.460178982,0.5711894159871882,0.7015705414310849
4,0.479962838,0.4652330516782721,0.43498443310051704
5,0.45014439,0.3921174914368859,0.34310831585060675
6,0.470651218,0.34132133225437156,0.1603195781862381
7,0.458650925,0.30345831083149055,0.09442325091880577
8,0.47250607,0.27407697272860876,0.048406971160042334
9,0.473779998,0.2505349822013374,0.049079372552776834
10,0.46461987,0.2312145913562491,0.04556825357399796
11,0.453187364,0.21506019927627573,0.048517142040719996
12,0.460302146,0.20134363577871328,0.04850242268187421
13,0.44805922,0.1895451479658723,0.049657957443298484
14,0.461220129,0.17928213472294607,0.05015801241030504
15,0.457806431,0.17026464743095548,0.05070311837363184
16,0.483749313,0.16226847714801584,0.052308293850257925
17,0.469110024,0.1551177207969172,0.05262484614189378
18,0.502779404,0.14867325343471394,0.05390523702986916
19,0.464082875,0.1441696192930474,0.05399628597311856
20,0.450044216,0.14647338949689648,0.05485831267931229
21,0.453943182,0.14876624270823702,0.05470908742050207
22,0.436012537,0.15115452070410496,0.05509865650457746
23,0.456873667,0.15313731092464933,0.05472911847502948
24,0.517946247,0.15542606707631457,0.05461547926368637
25,0.444655375,0.15754207148889432,0.05407066967540797
26,0.465303021,0.1592117657493629,0.0534549247661964
27,0.439880711,0.16147689041303526,0.05270158280420767
28,0.430481236,0.16320331807943578,0.05176382040287364
29,0.448878262,0.16487276613899127,0.05080657785320275
30,0.473701172,0.16673294962610297,0.04977407306763082
31,0.469672063,0.16795662782655207,0.0485829018359456
32,0.460263966,0.16969110438475465,0.047409644516198
33,0.466491555,0.17103372304584497,0.046209681159916194
34,0.460768117,0.17202868961994888,0.04484152095046501
35,0.443257462,0.17353063322889273,0.0434706556458857
36,0.472280269,0.17425417414667466,0.04213141269116516
37,0.463805345,0.17541570049425337,0.040835504960370694
38,0.602665108,0.17628012931628456,0.03962015876582459
39,0.492359307,0.17667652803379086,0.038455669509078416
40,0.47510935,0.17771476874227987,0.03729938768685692
41,0.455396929,0.17784598556537135,0.036160028649919296
42,0.454441996,0.1785728740085335,0.03512336730374965
43,0.463690392,0.17878395075001863,0.034065833042805416
44,0.506150406,0.17878826221009592,0.03302145624385722
45,0.468202305,0.17911856930206382,0.03205534269246013
46,0.464802974,0.1783974991497841,0.031060036200516006
47,0.49056029,0.17888242163643953,0.030077488516278672
48,0.478566156,0.1782436593996709,0.02915735623794824
49,0.454513022,0.17812158616183604,0.028153378884296254
50,0.450217467,0.17763510760803347,0.027238165061388875
51,0.44681321,0.1769010971088263,0.02636057182389895
52,0.477400202,0.1765989919291998,0.025527061288539432
53,0.461870847,0.17541926560789067,0.024707445808007433
54,0.470494389,0.1754395649976066,0.02393591311896004
55,0.464809133,0.17464624070163637,0.02320293893718961
56,0.485484696,0.17418548341052265,0.022472420852714836
57,0.438291484,0.1737690436595588,0.021765433552214608
58,0.487343243,0.17286584006875982,0.021095794354328734
59,0.46424381,0.17281965190294235,0.020912515465613457
60,0.43422214,0.17177833001238796,0.021142686659616605
61,0.481548781,0.17182022611247583,0.020213132414466872
62,0.453557267,0.1710808813127095,0.020933158309696998
63,0.496335046,0.17080165607083975,0.02185699568796462
64,0.449583172,0.17034978970994197,0.021165117904212938
65,0.446730279,0.16978900410237086,0.021184197213081846
66,0.49358438,0.16960888208155867,0.02226274744594159
67,0.431743667,0.16880756809810482,0.02348363285175792
68,0.474068201,0.16888259828213903,0.023528244887721872
69,0.46423642,0.16788471555942863,0.022719385215244747
70,0.453676327,0.16818856227546697,0.023996507827006353
71,0.46010221,0.16738611401746317,0.025364013741560498
72,0.444919766,0.16754165590912695,0.025949993104903757
73,0.465425775,0.16691893229686383,0.0244551798711391
74,0.450745019,0.16695945135597978,0.02582322100219825
75,0.444567517,0.16648704136866044,0.027233440017007338
76,0.482862121,0.166448595159162,0.028154188349651887
77,0.454097958,0.1661349020529076,0.026619351071130115
78,0.448557625,0.16604306060698215,0.02759357481893987
79,0.474167144,0.16586252970299487,0.028985443990357962
80,0.469518519,0.16574416498826494,0.030191339142896956
81,0.458584417,0.16566915893802292,0.02856568347173949
82,0.4824487,0.1655468339513072,0.029367085632875378
83,0.503855858,0.16554876189583778,0.030720100710104448
84,0.489039624,0.16544514384913178,0.031983000001300055
85,0.481377993,0.16549287408754598,0.030621238635624715
86,0.472629645,0.16542479113704622,0.03114424730874088
87,0.448376163,0.1654997623688491,0.03239937561727546
88,0.471952653,0.16548718155624975,0.03360720153865926
89,0.472201033,0.16556122253336136,0.03257799031447495
90,0.466442289,0.16561156679348676,0.0327480290551303
91,0.456877773,0.16565963455938615,0.033861666313179106
92,0.466273554,0.16578935151417784,0.03490780008280969
93,0.472162442,0.16577990473280357,0.03443971940566559
94,0.468093099,0.16599623233923178,0.03414955996925073
95,0.466685333,0.16592601756837277,0.03499992125211637
96,0.47255082,0.16622863792487053,0.03575718019390384
97,0.491808764,0.166069774065849,0.03551838303757493
98,0.449936242,0.16646970625333268,0.03510105215067327
99,0.438815752,0.16618309398222053,0.03570099016522388
100,0.496318624,0.16668352676167397,0.036224265708056924
101,0.473149808,0.16624470030457383,0.03634890642490152
102,0.464812828,0.1668562868355823,0.03557720289802113
103,0.445812296,0.16653291455586217,0.03593509881265178
104,0.471313842,0.16695328105311313,0.03618400515230902
105,0.47721094,0.16676450143968746,0.03637453498237608
106,0.454088516,0.166942620919716,0.035755899839885474
107,0.479032948,0.16688786051835192,0.03564940554202978
108,0.483046046,0.1668307930965759,0.035682918572787825
109,0.478410969,0.16687888602677203,0.0356480778655317
110,0.447591608,0.1666248701329307,0.03555648928351518
111,0.484813041,0.16676797870480364,0.0348427046031079
112,0.471863564,0.16630414886298683,0.034711958947840404
113,0.490733951,0.16653653648001687,0.034474131723276624
114,0.487630625,0.1659374908692003,0.03422344812345468
115,0.4593817,0.16614429412462706,0.033914815102164875
116,0.469677811,0.16564931763643487,0.033276406871041275
117,0.47201054,0.16555432633693568,0.03289978238499047
118,0.461674605,0.16515521639164188,0.03254628832695372
119,0.459325044,0.16395508236826173,0.03216254162779264
120,0.486706895,0.16195871147488405,0.03170926110136407
121,0.437162068,0.15919592259671222,0.031101006287560518
122,0.540603931,0.15571306758396586,0.030681518123248153
123,0.453682074,0.1515955295638335,0.030277144404487477
124,0.491127256,0.14694382935828676,0.02986693354462089
125,0.493347084,0.14187254268272786,0.030071837522419376
126,0.439512451,0.1365513839737349,0.03369509162757156
127,0.461169222,0.13106735377104572,0.03662182339364972
128,0.4910784,0.12553132601153583,0.04598782652773603
129,0.47711405,0.1200750708679057,0.059509829362308864
130,0.474238578,0.11480488285647006,0.06964883929442567
131,0.455664606,0.10983006043198673,0.07722020840908694
132,0.52152088,0.10525603610699363,0.08334263772430517
133,0.438394531,0.10282125078883053,0.08850467438063148
134,0.481975339,0.1035599651659398,0.09869675299018299
135,0.50820889,0.10453717875384205,0.10642740718049448
136,0.475638955,0.1053122959898165,0.11257366443339589
137,0.455181803,0.10627352948546853,0.12174810750630405
138,0.463628399,0.10717571627490308,0.12510760412730915
139,0.454811489,0.108039316142165,0.1256013697956473
140,0.497565866,0.10909821586522161,0.12967850462227837
141,0.459030271,0.10995356357376396,0.1318324338488963
142,0.462666487,0.11109292937807191,0.13186492218253987
143,0.470280905,0.11210442113681385,0.12950992870103017
144,0.504221656,0.11318439357809074,0.13125556508192382
145,0.463868159,0.11440684112253263,0.1312644981696529
146,0.463421894,0.1154790718462203,0.1290753600104202
147,0.435832306,0.1169223314843264,0.12675903303618763
148,0.456323944,0.11814967338612836,0.12496195642352559
149,0.445088091,0.11962678219021183,0.1249624325316534
150,0.48768605,0.12106156674157698,0.1216656157676872
151,0.471201762,0.12254589173920871,0.11718662493269605
152,0.466931661,0.12422156800981343,0.11298251046576313
153,0.481665377,0.12573758659714362,0.10800544355732322
154,0.47096816,0.12765226364130344,0.10360000046503881
155,0.449923926,0.12934837137952082,0.0992066895396495
156,0.477770105,0.1313564267853371,0.0943027183366989
157,0.494178031,0.13329751316621896,0.09035030982730485
158,0.463594323,0.13534602635526316,0.08596210239598023
159,0.460032828,0.13750788496836575,0.08130305348388722
160,0.45903643,0.1396102064282866,0.07797058447957195
161,0.476937926,0.14125626080066733,0.07390203336561285
162,0.46726092,0.14236420422853147,0.06949878346515259
163,0.475446819,0.1428992342372114,0.06575847240902988
164,0.448227545,0.14279949256581304,0.0616781734834313
165,0.45980169,0.1420162975226139,0.05750802059216009
166,0.466502229,0.14054165186081935,0.05385039158378535
167,0.460745947,0.1383625230696125,0.05032006836906033
168,0.468173976,0.13548399238398634,0.046716847990087684
169,0.478387979,0.13193129071069543,0.0431777841501193
170,0.476078241,0.1277729335115465,0.04013201142917833
171,0.483053846,0.12306315305949689,0.03722493847591024
172,0.486609595,0.11788429538342482,0.03436732833421274
173,0.463585703,0.11233310238865013,0.031649492047390204
174,0.443888473,0.10650898500592543,0.02912669087669384
175,0.45963706,0.10053445681780082,0.027029557702502593
176,0.465254165,0.09450626823944153,0.025142584652102284
177,0.495848137,0.0885099890915868,0.023333916401023558
178,0.466976,0.08263556258854832,0.021653654558896784
179,0.450091429,0.07697165554685337,0.020125574127524803
180,0.458208767,0.0715724902679098,0.018743684152306317
181,0.459636239,0.06648613369462764,0.017504643423280175
182,0.456044362,0.061743871013255625,0.016394457490951364
183,0.458634504,0.057386223393181,0.015632458095627966
184,0.472478153,0.0534021174584276,0.014849650984332996
185,0.498166497,0.04978740273081639,0.014093346421238273
186,0.440992884,0.04653699529665467,0.013386988622440033
187,0.465833447,0.04363420870571877,0.012718297827718716
188,0.512855872,0.04105853814160765,0.01209992638858548
189,0.470037039,0.03879121977938005,0.012010879333448798
190,0.468178903,0.03680358174016185,0.012023356536745244
191,0.473804631,0.03506119823893161,0.01155155744912073
192,0.487562065,0.033535398239210035,0.011383743213429387
193,0.478490616,0.03219865542503464,0.011435812108833598
194,0.461660647,0.031022058354939763,0.011567432687494605
195,0.461916828,0.029983742304403593,0.011061681398002676
196,0.502265399,0.029050781694493266,0.010700371326375246
197,0.475985047,0.028196258107476724,0.010464739103708598
198,0.462634465,0.027400686097660887,0.009846453005594169
199,0.466042827,0.026649473807631163,0.009446615288409177
200,0.520678438,0.025929840207757127,0.009374499156046712
201,0.482868279,0.025228776018943022,0.009251544465858297
202,0.464352604,0.024536962897157233,0.009042626594021552
203,0.453182849,0.023848753830329472,0.008651947571850727
204,0.433952411,0.023162857593468034,0.007873790094236721
205,0.483126103,0.022483326552544036,0.007542945884434382
206,0.483941449,0.02181386851647138,0.007213247007461843
207,0.481193247,0.02115812146853191,0.006834698032377129
208,0.469619102,0.020520271491094144,0.006430807428545071
209,0.47694121,0.019901884212364163,0.006007302037696949
210,0.493147148,0.0192978130568644,0.005565148804906883
211,0.479053476,0.018700698053517706,0.004981296738911678
212,0.480192333,0.0181008154253125,0.004548859027910801
213,0.467816801,0.0174865977791272,0.0041280960634075825
214,0.490716298,0.01684453872065339,0.0037390575697675565
215,0.462686194,0.01616229094278132,0.003370765597390246
216,0.449093388,0.015431059599527841,0.0029976667821527414
217,0.482636731,0.014646097107915979,0.0026619374359665438
218,0.440092554,0.013808034956146464,0.0023633101576413518
219,0.46182076,0.012922855627077845,0.0021016125775459304
220,0.476464565,0.012001539964148877,0.0018741719245354282
221,0.485770437,0.01105895044911931,0.0016792731882319112
222,0.4565986,0.01011229403199676,0.0015232068373196572
